State,Town,House Type,Bedrooms,Bathrooms,Toilets, Price 
Abuja,Mabushi,Detached Duplex,6,5,5,"450,000,000"
Abuja,Katampe,Terraced Duplexes,4,5,5,"800,000,000"
Lagos,Lekki,Detached Duplex,4,5,5,"120,000,000"
Lagos,Ajah,Detached Duplex,4,4,5,"40,000,000"
Lagos,Lekki,Semi Detached Duplex,4,4,5,"75,000,000"
Lagos,Lekki,Detached Duplex,5,5,6,"450,000,000"
Lagos,Lekki,Detached Duplex,4,5,5,"65,000,000"
Lagos,Epe,Detached Bungalow,2,2,3,"12,000,000"
Lagos,Lekki,Detached Duplex,1,1,1,"200,000,000"
Lagos,Ajah,Detached Duplex,4,4,5,"60,000,000"
Abuja,Lokogoma District,Terraced Duplexes,3,4,5,"25,000,000"
Edo,Oredo,Semi Detached Duplex,6,6,6,"45,000,000"
Lagos,Lekki,Semi Detached Duplex,4,5,6,"65,000,000"
Lagos,Lekki,Semi Detached Duplex,4,4,5,"70,000,000"
Lagos,Victoria Island (VI),Detached Duplex,6,6,7,"450,000,000"
Ogun,Mowe Ofada,Detached Bungalow,3,4,4,"12,000,000"
Lagos,Lekki,Terraced Duplexes,4,4,5,"48,000,000"
Abuja,Lokogoma District,Detached Bungalow,3,3,4,"37,000,000"
Lagos,Victoria Island (VI),Detached Duplex,4,5,5,"170,000,000"
Lagos,Ikeja,Block of Flats,3,3,4,"350,000,000"
Lagos,Lekki,Detached Duplex,5,5,6,"85,000,000"
Lagos,Lekki,Terraced Duplexes,3,3,4,"34,000,000"
Lagos,Victoria Island (VI),Terraced Duplexes,4,5,5,"130,000,000"
Abuja,Katampe,Detached Duplex,5,6,7,"160,000,000"
Lagos,Ajah,Detached Duplex,4,4,5,"60,000,000"
Lagos,Lekki,Detached Duplex,5,5,5,"270,000,000"
Lagos,Lekki,Detached Duplex,5,6,5,"250,000,000"
Lagos,Lekki,Detached Duplex,4,4,5,"180,000,000"
Lagos,Lekki,Semi Detached Duplex,4,4,5,"75,000,000"
